ASIN,title_brand_present,title_sentence_case,title_spellcheck,Final_TITLE_Score,description_special_chr_check,description_char_constrained_2000,description_multiline_check,description_spellcheck,Fianl_DESCRIPTION_Score,bullets_special_chr_check,bullets_number_check,bullets_first_capital_check,bullets_spellcheck,Fianl_BULLETS_Score,Grade 1,final_entire_spellcheck,final_dimensionality_check,final_sentence_case_check,Grade2,Overall_Grading
B075M9WHY5,0,1,1,6.7,1,1,0,0,5,1,1,1,0,7.5,6.4,0.3,0,1,4.4,5.4
B07QGZPDLK,1,1,1,10,1,1,0,0,5,1,1,1,0,7.5,6.4,0.3,0,1,4.4,5.4
B07DHKH4XD,1,1,1,10,1,1,0,0,5,0,1,1,0,5,5.6,0.3,0,1,4.4,5
B07QGZN74S,1,1,1,10,1,1,0,0,5,1,1,1,0,7.5,6.4,0.3,0,1,4.4,5.4
B07QFVW623,1,1,0,6.7,1,1,0,0,5,1,1,1,0,7.5,6.4,0,0,1,3.3,4.9
B014PIG72M,1,1,1,10,1,1,0,0,5,1,1,1,0,7.5,6.4,0.3,0,1,4.4,5.4
B07GKZZYNT,1,1,1,10,1,1,0,0,5,1,1,1,0,7.5,6.4,0.3,0,1,4.4,5.4
B08GFCTNQN,0,1,1,6.7,1,1,0,0,5,1,1,1,0,7.5,6.4,0.3,1,1,7.8,7.1
B014PIKNR2,1,1,1,10,1,1,0,0,5,1,1,1,0,7.5,6.4,0.3,0,1,4.4,5.4
B07N19MQDW,1,1,0,6.7,1,1,0,0,5,1,1,1,0,7.5,6.4,0,0,1,3.3,4.9
B07QJ53146,1,1,1,10,1,1,0,0,5,1,1,1,0,7.5,6.4,0.3,0,1,4.4,5.4
B07D8QCRDX,1,1,1,10,1,1,0,0,5,1,0,1,0,5,5.6,0.3,1,1,7.8,6.7
B08FB3LV8F,1,1,1,10,1,1,0,0,5,1,1,1,0,7.5,6.4,0.3,0,1,4.4,5.4
B07PSJ7672,1,1,0,6.7,1,1,1,0,7.5,1,1,1,1,10,7.2,0.3,0,1,4.4,5.8
B08FB6Q7DW,1,1,1,10,1,1,0,0,5,1,1,1,0,7.5,6.4,0.3,0,1,4.4,5.4
B075JCJYN6,1,1,1,10,1,1,0,0,5,1,1,1,0,7.5,6.4,0.3,0,1,4.4,5.4
B07Y9QG7BY,1,1,1,10,1,1,1,0,7.5,1,1,1,0,7.5,6.4,0.3,0,1,4.4,5.4
B08HN9XJT5,1,1,1,10,1,1,0,0,5,1,1,1,0,7.5,6.4,0.3,0,1,4.4,5.4
B07D8PF4ZW,1,1,1,10,1,1,0,0,5,0,1,1,0,5,5.6,0.3,0,1,4.4,5
B07YB8BDNT,1,1,1,10,1,1,0,0,5,1,1,1,0,7.5,6.4,0.3,0,1,4.4,5.4
B082KQDWK3,1,1,1,10,1,1,0,0,5,1,1,1,0,7.5,6.4,0.3,0,1,4.4,5.4
B07D8RR888,1,1,1,10,1,1,0,0,5,0,1,1,0,5,5.6,0.3,1,1,7.8,6.7
B07TLW2QBR,1,1,1,10,1,1,0,0,5,0,1,1,0,5,5.6,0.3,0,1,4.4,5
B07QKMK7SG,1,1,1,10,1,1,0,0,5,1,1,1,0,7.5,6.4,0.3,0,1,4.4,5.4
B07QK72B8N,1,1,1,10,1,1,0,0,5,1,1,1,0,7.5,6.4,0.3,0,1,4.4,5.4
B07D8QSSVD,1,1,1,10,1,1,0,0,5,1,0,1,0,5,5.6,0.3,1,1,7.8,6.7
B071NPMVBR,1,1,1,10,1,1,1,0,7.5,1,1,1,0,7.5,6.4,0.3,0,1,4.4,5.4
B08FB74ZC9,1,1,1,10,1,1,0,0,5,1,1,1,0,7.5,6.4,0.3,0,1,4.4,5.4
B08QRX6FRD,1,1,1,10,1,1,0,0,5,1,1,1,0,7.5,6.4,0.3,0,1,4.4,5.4
B01B6MV69Y,1,1,1,10,1,1,1,1,10,1,1,1,1,10,7.2,1,0,1,6.7,6.9
B01B6MV4FK,1,1,1,10,1,1,1,0,7.5,1,1,1,0,7.5,6.4,0.3,0,1,4.4,5.4
B08HN79WLM,1,1,1,10,1,1,0,0,5,1,1,1,0,7.5,6.4,0.3,0,1,4.4,5.4
B08XZ5GGF3,1,1,0,6.7,1,1,0,0,5,1,1,1,1,10,7.2,0.3,0,1,4.4,5.8
B07DHKXFGF,1,1,1,10,1,1,0,0,5,0,1,1,0,5,5.6,0.3,0,1,4.4,5
B08XZ8XQLQ,1,1,0,6.7,1,1,0,0,5,1,1,1,1,10,7.2,0.3,0,1,4.4,5.8
B07MYFQPXF,1,1,1,10,1,1,0,0,5,1,1,1,0,7.5,6.4,0.3,0,1,4.4,5.4
B08XZ8D4NC,1,1,0,6.7,1,1,0,0,5,1,1,1,1,10,7.2,0.3,0,1,4.4,5.8
B07QGZPDLY,1,1,1,10,1,1,0,0,5,1,1,1,0,7.5,6.4,0.3,0,1,4.4,5.4
B075JBR528,1,1,1,10,1,1,0,0,5,1,1,1,0,7.5,6.4,0.3,0,1,4.4,5.4
B08Y91HVMW,1,1,0,6.7,1,1,0,0,5,1,1,1,0,7.5,6.4,0,0,1,3.3,4.9
B072BJLV3R,1,1,1,10,0,1,1,0,5,1,1,1,0,7.5,6.4,0.3,0,1,4.4,5.4
B07QFVWB1Y,1,1,1,10,1,1,0,0,5,1,1,1,0,7.5,6.4,0.3,0,1,4.4,5.4
B07QK66R32,1,1,1,10,1,1,0,0,5,1,1,1,0,7.5,6.4,0.3,0,1,4.4,5.4
B08FXG432Y,1,1,1,10,1,1,1,0,7.5,1,1,1,0,7.5,6.4,0.3,0,1,4.4,5.4
B07D8SNSHH,1,1,1,10,1,1,0,0,5,0,1,1,0,5,5.6,0.3,0,1,4.4,5
B07QJ53564,1,1,1,10,1,1,0,0,5,1,1,1,0,7.5,6.4,0.3,0,1,4.4,5.4
B07QGZN6WC,1,1,1,10,1,1,0,0,5,1,1,1,0,7.5,6.4,0.3,0,1,4.4,5.4
B07QFVW5WL,1,1,1,10,1,1,0,0,5,1,1,1,0,7.5,6.4,0.3,0,1,4.4,5.4
B07QJ53F9D,1,1,1,10,1,1,0,0,5,1,1,1,0,7.5,6.4,0.3,0,1,4.4,5.4
B08XZ7FZBB,1,1,0,6.7,1,1,0,0,5,1,1,1,1,10,7.2,0.3,0,1,4.4,5.8
B07QCT15S5,1,1,0,6.7,1,1,0,0,5,1,1,1,0,7.5,6.4,0,0,1,3.3,4.9
B07QFVVZ1N,1,1,1,10,1,1,0,0,5,1,1,1,0,7.5,6.4,0.3,0,1,4.4,5.4
B08XZD971N,1,1,1,10,1,1,0,0,5,0,1,1,1,7.5,6.4,0.7,0,1,5.6,6
B085TG12FS,1,1,1,10,1,1,0,0,5,1,1,1,0,7.5,6.4,0.3,0,1,4.4,5.4
B09HKQBM7M,1,1,0,6.7,1,1,0,0,5,0,1,1,0,5,5.6,0,0,1,3.3,4.4
B07D8NRZD1,1,1,1,10,1,1,0,0,5,0,1,1,0,5,5.6,0.3,1,1,7.8,6.7
B07YB8D4ZS,1,1,1,10,1,1,0,0,5,1,1,1,0,7.5,6.4,0.3,0,1,4.4,5.4
B0725M1L76,1,1,1,10,1,1,0,0,5,1,1,1,0,7.5,6.4,0.3,0,1,4.4,5.4
B08XZB19DD,1,1,0,6.7,1,1,0,0,5,1,1,1,1,10,7.2,0.3,0,1,4.4,5.8